epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2068.38,0.84383,0.40371,0.7824,0.90395,0.74578,0.81839,0.53922,0.87261,0.43874,0.78758,0.000742625,0.000742625,0.000742625
43,2117.05,0.84745,0.40363,0.78372,0.94933,0.73127,0.80774,0.54928,0.83604,0.40098,0.78828,0.00073025,0.00073025,0.00073025
44,2165.55,0.81523,0.39198,0.78558,0.90679,0.76048,0.79766,0.55699,0.79469,0.39054,0.78504,0.000717875,0.000717875,0.000717875
45,2214.27,0.80677,0.38097,0.7823,0.91895,0.77661,0.82386,0.56455,0.81013,0.39634,0.78504,0.0007055,0.0007055,0.0007055
46,2262.48,0.81045,0.38335,0.78212,0.88804,0.75688,0.80683,0.5322,0.8469,0.42002,0.78707,0.000693125,0.000693125,0.000693125
47,2311.25,0.81074,0.3838,0.78026,0.88605,0.74402,0.80296,0.55391,0.81658,0.40156,0.78685,0.00068075,0.00068075,0.00068075
48,2359.32,0.81154,0.37979,0.78004,0.91326,0.75593,0.83008,0.56042,0.81012,0.39397,0.7863,0.000668375,0.000668375,0.000668375
49,2409.08,0.78593,0.3714,0.78049,0.92933,0.74959,0.83827,0.56921,0.80338,0.40393,0.78389,0.000656,0.000656,0.000656
50,2458.33,0.79151,0.3696,0.77769,0.92833,0.75557,0.83108,0.57198,0.78779,0.39736,0.78492,0.000643625,0.000643625,0.000643625
51,2507.61,0.77834,0.3692,0.78043,0.8748,0.7758,0.80912,0.54662,0.81478,0.39769,0.78558,0.00063125,0.00063125,0.00063125
52,2557.73,0.80844,0.37349,0.78026,0.92092,0.74678,0.8115,0.54743,0.80673,0.39992,0.7846,0.000618875,0.000618875,0.000618875
53,2608.06,0.78218,0.36479,0.77942,0.88029,0.77214,0.83504,0.57044,0.79672,0.3825,0.7847,0.0006065,0.0006065,0.0006065
54,2656.5,0.77575,0.36014,0.78065,0.86438,0.7521,0.81958,0.57108,0.79586,0.39699,0.78369,0.000594125,0.000594125,0.000594125
55,2705.25,0.77748,0.36127,0.77942,0.81197,0.74017,0.81073,0.56644,0.79528,0.38584,0.78426,0.00058175,0.00058175,0.00058175
56,2754.08,0.75045,0.35493,0.77845,0.86999,0.7763,0.8338,0.5633,0.81329,0.38641,0.78415,0.000569375,0.000569375,0.000569375
57,2803.57,0.76155,0.3559,0.77619,0.92102,0.76256,0.82969,0.56875,0.79277,0.37721,0.78333,0.000557,0.000557,0.000557
58,2851.96,0.78416,0.36008,0.77831,0.87402,0.76681,0.82595,0.57011,0.80102,0.39589,0.7851,0.000544625,0.000544625,0.000544625
59,2900.34,0.77011,0.35364,0.77768,0.84677,0.77436,0.82365,0.56499,0.81085,0.38672,0.78562,0.00053225,0.00053225,0.00053225
60,2948.51,0.76286,0.35325,0.77859,0.9135,0.76751,0.83221,0.58315,0.76851,0.37882,0.78291,0.000519875,0.000519875,0.000519875
61,2997.35,0.73686,0.34659,0.77909,0.90235,0.76464,0.82531,0.57306,0.77287,0.37281,0.78384,0.0005075,0.0005075,0.0005075
62,3045.7,0.74853,0.34687,0.77722,0.87075,0.77093,0.84232,0.59933,0.78802,0.38055,0.78387,0.000495125,0.000495125,0.000495125
63,3095.64,0.7551,0.35483,0.7776,0.85278,0.78471,0.83076,0.58408,0.77883,0.37965,0.78344,0.00048275,0.00048275,0.00048275
64,3144.94,0.74679,0.35356,0.7764,0.90731,0.77486,0.83725,0.5808,0.77886,0.37895,0.78384,0.000470375,0.000470375,0.000470375
65,3193.73,0.73304,0.34723,0.7753,0.80621,0.77344,0.81464,0.5868,0.77187,0.38009,0.78369,0.000458,0.000458,0.000458
66,3242.32,0.7389,0.34816,0.77883,0.927,0.77363,0.83564,0.57141,0.80583,0.38547,0.7847,0.000445625,0.000445625,0.000445625
67,3292.72,0.75255,0.35047,0.77826,0.87459,0.76143,0.82066,0.58002,0.78295,0.37963,0.78333,0.00043325,0.00043325,0.00043325
68,3341.08,0.72786,0.33854,0.77608,0.91131,0.76963,0.84447,0.59634,0.7743,0.37533,0.78316,0.000420875,0.000420875,0.000420875
69,3389.86,0.73747,0.34481,0.77623,0.9461,0.7708,0.83825,0.57733,0.77924,0.38573,0.78278,0.0004085,0.0004085,0.0004085
70,3438.14,0.72108,0.33916,0.77766,0.87106,0.75546,0.84476,0.58821,0.77872,0.38235,0.78323,0.000396125,0.000396125,0.000396125
71,3488.01,0.72579,0.33882,0.77644,0.95138,0.7501,0.85516,0.58959,0.7776,0.37792,0.78311,0.00038375,0.00038375,0.00038375
72,3536.75,0.72559,0.33858,0.77512,0.9344,0.76361,0.84777,0.59764,0.77073,0.3626,0.78359,0.000371375,0.000371375,0.000371375
73,3585.51,0.70952,0.33099,0.77535,0.89743,0.76891,0.83972,0.58897,0.77487,0.37287,0.78301,0.000359,0.000359,0.000359
74,3633.84,0.71857,0.33571,0.77511,0.93898,0.75072,0.83258,0.58616,0.79222,0.37107,0.78368,0.000346625,0.000346625,0.000346625
75,3682.44,0.71662,0.33344,0.77823,0.94764,0.75724,0.84023,0.59251,0.76817,0.372,0.78264,0.00033425,0.00033425,0.00033425
76,3731.04,0.7046,0.32737,0.7741,0.93197,0.76044,0.84326,0.60054,0.75587,0.36878,0.78178,0.000321875,0.000321875,0.000321875
77,3779.92,0.70336,0.32359,0.77392,0.91799,0.76296,0.83243,0.59292,0.77464,0.36183,0.7833,0.0003095,0.0003095,0.0003095
78,3828.38,0.71327,0.32906,0.77535,0.91239,0.76024,0.83067,0.57861,0.79861,0.38282,0.78353,0.000297125,0.000297125,0.000297125
79,3877.54,0.69576,0.325,0.7757,0.89984,0.75796,0.83563,0.59562,0.78349,0.36755,0.78341,0.00028475,0.00028475,0.00028475
80,3925.71,0.69524,0.31949,0.77448,0.89964,0.755,0.82961,0.58842,0.76689,0.37077,0.7834,0.000272375,0.000272375,0.000272375
81,3974.43,0.69174,0.31825,0.77249,0.93414,0.74251,0.83399,0.58978,0.75904,0.36622,0.78239,0.00026,0.00026,0.00026
82,4023.24,0.68095,0.31563,0.77413,0.86933,0.73707,0.82509,0.58613,0.78341,0.37879,0.78356,0.000247625,0.000247625,0.000247625
83,4071.78,0.67088,0.3144,0.77421,0.92844,0.75215,0.82411,0.59531,0.75875,0.35535,0.7826,0.00023525,0.00023525,0.00023525
84,4120.52,0.67622,0.31281,0.77117,0.94884,0.74378,0.83462,0.59692,0.76924,0.36547,0.78373,0.000222875,0.000222875,0.000222875
85,4169.16,0.65388,0.3078,0.77151,0.95082,0.7339,0.83164,0.60544,0.75295,0.35793,0.78208,0.0002105,0.0002105,0.0002105
